Date,Time,Temperature
1/18/13,2013,-12.3
1/18/13,2013,-12.3
1/18/13,2013,-12.6
1/18/13,2013,-12
1/18/13,2013,-11.8
1/18/13,2013,-12
1/19/13,2013,-11.7
1/19/13,2013,-12
1/19/13,2013,-12.8
1/19/13,2013,-12.4
1/19/13,2013,-12.7
1/19/13,2013,-12.3
1/19/13,2013,-12.8
1/19/13,2013,-12.7
1/19/13,2013,-12.5
1/19/13,2013,-12
1/19/13,2013,-12
1/19/13,2013,-11.7
1/19/13,2013,-10.5
1/19/13,2013,-10.4
1/19/13,2013,-10.5
1/19/13,2013,-10.5
1/19/13,2013,-10.1
1/19/13,2013,-10.5
1/19/13,2013,-10.8
1/19/13,2013,-11.5
1/19/13,2013,-11.6
1/19/13,2013,-11.3
1/19/13,2013,-11.1
1/19/13,2013,-10.6
1/20/13,2013,-10.6
1/20/13,2013,-10.6
1/20/13,2013,-10.6
1/20/13,2013,-10.7
1/20/13,2013,-9.9
1/20/13,2013,-8.7
1/20/13,2013,-10.4
1/20/13,2013,-8.2
1/20/13,2013,-8.9
1/20/13,2013,-9.6
1/20/13,2013,-9.8
1/20/13,2013,-9.4
1/20/13,2013,-9
1/20/13,2013,-8.8
1/20/13,2013,-8.6
1/20/13,2013,-8
1/20/13,2013,-7.9
1/20/13,2013,-7.9
1/20/13,2013,-8
1/20/13,2013,-8
1/20/13,2013,-8.1
1/20/13,2013,-7.9
1/20/13,2013,-7.8
1/20/13,2013,-7.1
1/21/13,2013,-6.1
1/21/13,2013,-6.1
1/21/13,2013,-5.9
1/21/13,2013,-6.5
1/21/13,2013,-7.8
1/21/13,2013,-8.3
1/21/13,2013,-8.6
1/21/13,2013,-8.8
1/21/13,2013,-9
1/21/13,2013,-8.9
1/21/13,2013,-9.3
1/21/13,2013,-8.9
1/21/13,2013,-8.7
1/21/13,2013,-9.3
1/21/13,2013,-9.4
1/21/13,2013,-9.2
1/21/13,2013,-9.5
1/21/13,2013,-9.8
1/21/13,2013,-10.3
1/21/13,2013,-10.4
1/21/13,2013,-11.3
1/21/13,2013,-10.9
1/21/13,2013,-12.2
1/21/13,2013,-12.2
1/22/13,2013,-12.5
1/22/13,2013,-12.4
1/22/13,2013,-12.5
1/22/13,2013,-12.8
1/22/13,2013,-12.6
1/22/13,2013,-12.4
1/22/13,2013,-12.2
1/22/13,2013,-12.4
1/22/13,2013,-12.5
1/22/13,2013,-13
1/22/13,2013,-13
1/22/13,2013,-12.5
1/22/13,2013,-12.3
1/22/13,2013,-11.6
1/22/13,2013,-11.6
1/22/13,2013,-11.5
1/22/13,2013,-11.5
1/22/13,2013,-12.1
1/22/13,2013,-12.2
1/22/13,2013,-12.2
1/22/13,2013,-12.1
1/22/13,2013,-12.2
1/22/13,2013,-11.9
1/22/13,2013,-12.4
1/23/13,2013,-12.2
1/23/13,2013,-12.5
1/23/13,2013,-12.3
1/23/13,2013,-12.8
1/23/13,2013,-12.6
1/23/13,2013,-12.8
1/23/13,2013,-12.7
1/23/13,2013,-13
1/23/13,2013,-13.2
1/23/13,2013,-13
1/23/13,2013,-13.1
1/23/13,2013,-12.6
1/23/13,2013,-12.3
1/23/13,2013,-12
1/23/13,2013,-11.2
1/23/13,2013,-10.9
1/23/13,2013,-11.5
1/23/13,2013,-11.8
1/23/13,2013,-12
1/23/13,2013,-12.1
1/23/13,2013,-11.7
1/23/13,2013,-12.4
1/23/13,2013,-11.9
1/23/13,2013,-12.5
1/24/13,2013,-12.6
1/24/13,2013,-12.8
1/24/13,2013,-12.5
1/24/13,2013,-12.9
1/24/13,2013,-12.7
1/24/13,2013,-12.1
1/24/13,2013,-12.8
1/24/13,2013,-12.7
1/24/13,2013,-12.4
1/24/13,2013,-12.5
1/24/13,2013,-12.2
1/24/13,2013,-12.1
1/24/13,2013,-12.2
1/24/13,2013,-11.7
1/24/13,2013,-11.2
1/24/13,2013,-10.9
1/24/13,2013,-10.7
1/24/13,2013,-10.4
1/24/13,2013,-10.5
1/24/13,2013,-9.3
1/24/13,2013,-8.4
1/24/13,2013,-7.6
1/24/13,2013,-6.9
1/24/13,2013,-6.7
1/25/13,2013,-6.3
1/25/13,2013,-5.9
1/25/13,2013,-5.7
1/25/13,2013,-5.8
1/25/13,2013,-5.8
1/25/13,2013,-5.7
1/25/13,2013,-5.8
1/25/13,2013,-5.8
1/25/13,2013,-5.9
1/25/13,2013,-5.8
1/25/13,2013,-5.7
1/25/13,2013,-5.4
1/25/13,2013,-4.9
1/25/13,2013,-4.3
1/25/13,2013,-3.9
1/25/13,2013,-3.8
1/25/13,2013,-3.8
1/25/13,2013,-4.2
1/25/13,2013,-4.3
1/25/13,2013,-4.4
1/25/13,2013,-4.4
1/25/13,2013,-4.3
1/25/13,2013,-4.3
1/25/13,2013,-4.4
1/26/13,2013,-4.3
1/26/13,2013,-4.1
1/26/13,2013,-4
1/26/13,2013,-3.9
1/26/13,2013,-3.5
1/26/13,2013,-3.4
1/26/13,2013,-3.5
1/26/13,2013,-3.1
1/26/13,2013,-3.1
1/26/13,2013,-3.2
1/26/13,2013,-3.2
1/26/13,2013,-3
1/26/13,2013,-2.5
1/26/13,2013,-1.9
1/26/13,2013,-1.8
1/26/13,2013,-2.2
1/26/13,2013,-2.6
1/26/13,2013,-3.1
1/26/13,2013,-3.2
1/26/13,2013,-3.8
1/26/13,2013,-4.5
1/26/13,2013,-5.6
1/26/13,2013,-6.1
1/26/13,2013,-6.1
1/27/13,2013,-6.6
1/27/13,2013,-5.8
1/27/13,2013,-5.4
1/27/13,2013,-4.2
1/27/13,2013,-3.4
1/27/13,2013,-3.3
1/27/13,2013,-3.2
1/27/13,2013,-3.8
1/27/13,2013,-3.9
1/27/13,2013,-3.5
1/27/13,2013,-3.1
1/27/13,2013,-2.2
1/27/13,2013,-1.1
1/27/13,2013,-0.1
1/27/13,2013,-0.5
1/27/13,2013,-0.7
1/27/13,2013,-0.7
1/27/13,2013,0.4
1/27/13,2013,1.2
1/27/13,2013,0.7
1/27/13,2013,0.4
1/27/13,2013,0.2
1/27/13,2013,-0.2
1/27/13,2013,-0.5
1/28/13,2013,-0.5
1/28/13,2013,-0.5
1/28/13,2013,-0.6
1/28/13,2013,-0.7
1/28/13,2013,-0.8
1/28/13,2013,-0.8
1/28/13,2013,-0.9
1/28/13,2013,-1.3
1/28/13,2013,-1.3
1/28/13,2013,-2
1/28/13,2013,-3.1
1/28/13,2013,-3.4
1/28/13,2013,-2.5
1/28/13,2013,-0.7
1/28/13,2013,0.2
1/28/13,2013,3.1
1/28/13,2013,3.7
1/28/13,2013,2.5
1/28/13,2013,1.6
1/28/13,2013,1.3
1/28/13,2013,1.2
1/28/13,2013,1.2
1/28/13,2013,1.1
1/28/13,2013,1.2
1/29/13,2013,1.3
1/29/13,2013,1.5
1/29/13,2013,1.1
1/29/13,2013,1.1
1/29/13,2013,0.9
1/29/13,2013,1
1/29/13,2013,1.3
1/29/13,2013,1.5
1/29/13,2013,1.7
1/29/13,2013,2
1/29/13,2013,1.8
1/29/13,2013,1.8
1/29/13,2013,1.7
1/29/13,2013,1.6
1/29/13,2013,1.6
1/29/13,2013,1.8
1/29/13,2013,1.9
1/29/13,2013,2
1/29/13,2013,1.6
1/29/13,2013,1.4
1/29/13,2013,1.5
1/29/13,2013,1.4
1/29/13,2013,1.4
1/29/13,2013,1.4
1/30/13,2013,1.2
1/30/13,2013,1.2
1/30/13,2013,1.2
1/30/13,2013,1.2
1/30/13,2013,1.1
1/30/13,2013,1.2
1/30/13,2013,1.2
1/30/13,2013,1.1
1/30/13,2013,1.4
1/30/13,2013,2.1
1/30/13,2013,4.9
1/30/13,2013,5.1
1/30/13,2013,4.8
1/30/13,2013,4
1/30/13,2013,3
1/30/13,2013,3
1/30/13,2013,3.7
1/30/13,2013,3.1
1/30/13,2013,2.7
1/30/13,2013,2
1/30/13,2013,1.7
1/30/13,2013,1.5
1/30/13,2013,1.1
1/30/13,2013,0.9
1/31/13,2013,1
1/31/13,2013,1.2
1/31/13,2013,2.3
1/31/13,2013,4.8
1/31/13,2013,5.4
1/31/13,2013,4.8
1/31/13,2013,4.5
1/31/13,2013,4.1
1/31/13,2013,3.9
1/31/13,2013,3.8
1/31/13,2013,3.4
1/31/13,2013,3.2
1/31/13,2013,2.7
1/31/13,2013,2.2
1/31/13,2013,2.6
1/31/13,2013,3.1
1/31/13,2013,2.8
1/31/13,2013,2.1
1/31/13,2013,1.3
1/31/13,2013,0.8
1/31/13,2013,0
1/31/13,2013,-0.9
1/31/13,2013,-1.1
1/31/13,2013,-1.3
